Date,NIFTY_BANK,NIFTY_AUTO,NIFTY_FMCG,NIFTY_IT,NIFTY_PHARMA,NIFTY_OIL_GAS,NIFTY_PRIVATE_BANK,NIFTY_PSU_BANK,NIFTY_COMMODITIES,NIFTY_CONSUMERABLES,NIFTY_FINANCIAL_SERVICES_EXBANK,NIFTY_FINANCIAL_SERVICES25_50,NIFTY_ENERGY
20-Sep-21,-1.4077%,-1.4584%,0.3937%,-1.2778%,-2.7956%,-2.7956%,-2.7956%,-2.7956%,-5.1185%,-2.7956%,-2.7956%,-2.7956%,-2.1298%
17-Sep-21,2.5381%,0.5260%,0.7216%,-1.2026%,-0.9248%,-0.9248%,-0.9248%,-0.9248%,-1.5946%,-0.9248%,-0.9248%,-0.9248%,0.4383%
16-Sep-21,2.8022%,1.3703%,1.3121%,1.1740%,0.5548%,0.5548%,0.5548%,0.5548%,0.8991%,0.5548%,0.5548%,0.5548%,2.9095%
15-Sep-21,1.0324%,1.7175%,-0.2169%,2.6212%,0.7651%,0.7651%,0.7651%,0.7651%,0.7057%,0.7651%,0.7651%,0.7651%,1.6957%
14-Sep-21,-0.1916%,0.9501%,-0.2679%,1.7758%,0.5628%,0.5628%,0.5628%,0.5628%,0.3174%,0.5628%,0.5628%,0.5628%,-0.5393%
13-Sep-21,-0.8127%,0.1952%,0.8103%,1.2850%,0.1920%,0.1920%,0.1920%,0.1920%,1.2201%,0.1920%,0.1920%,0.1920%,-0.0767%
09-Sep-21,0.5845%,-0.3965%,0.7100%,-0.4280%,-0.4013%,-0.4013%,-0.4013%,-0.4013%,0.9358%,-0.4013%,-0.4013%,-0.4013%,1.0112%
08-Sep-21,0.4783%,-0.6619%,0.2345%,-2.1250%,-0.9206%,-0.9206%,-0.9206%,-0.9206%,0.0784%,-0.9206%,-0.9206%,-0.9206%,-0.0183%
07-Sep-21,-0.8016%,0.2753%,0.1579%,0.1720%,-0.6832%,-0.6832%,-0.6832%,-0.6832%,0.1920%,-0.6832%,-0.6832%,-0.6832%,0.0024%
06-Sep-21,-0.6530%,1.4242%,-0.3170%,2.0748%,0.1592%,0.1592%,0.1592%,0.1592%,1.6559%,0.1592%,0.1592%,0.1592%,2.5825%
03-Sep-21,0.5083%,0.7985%,1.4457%,2.2374%,1.1446%,1.1446%,1.1446%,1.1446%,2.3141%,1.1446%,1.1446%,1.1446%,2.7584%
02-Sep-21,1.1042%,-0.1197%,1.9027%,0.3175%,0.7867%,0.7867%,0.7867%,0.7867%,0.5247%,0.7867%,0.7867%,0.7867%,0.8614%
01-Sep-21,0.6197%,0.8562%,1.2473%,0.0038%,0.6798%,0.6798%,0.6798%,0.6798%,0.5091%,0.6798%,0.6798%,0.6798%,0.5546%
31-Aug-21,2.1875%,2.3977%,1.7966%,0.7532%,2.7609%,2.7609%,2.7609%,2.7609%,2.9908%,2.7609%,2.7609%,2.7609%,1.7115%
30-Aug-21,2.0087%,1.9562%,1.2248%,0.1997%,3.2617%,3.2617%,3.2617%,3.2617%,3.1874%,3.2617%,3.2617%,3.2617%,1.8702%
27-Aug-21,0.1166%,-0.1511%,0.9567%,0.6583%,0.8474%,0.8474%,0.8474%,0.8474%,0.9748%,0.8474%,0.8474%,0.8474%,0.9287%
26-Aug-21,-0.2655%,-0.7139%,1.1324%,0.5955%,-0.8536%,-0.8536%,-0.8536%,-0.8536%,0.1616%,-0.8536%,-0.8536%,-0.8536%,1.5230%
25-Aug-21,1.2978%,0.5047%,-0.1077%,0.4816%,0.9392%,0.9392%,0.9392%,0.9392%,2.0683%,0.9392%,0.9392%,0.9392%,2.1516%
24-Aug-21,1.8992%,-0.7312%,-0.9501%,1.4393%,1.1884%,1.1884%,1.1884%,1.1884%,0.8980%,1.1884%,1.1884%,1.1884%,1.0929%
23-Aug-21,-1.2245%,-3.1642%,1.9517%,1.3883%,-2.7061%,-2.7061%,-2.7061%,-2.7061%,-4.3034%,-2.7061%,-2.7061%,-2.7061%,-1.8252%
20-Aug-21,-2.3794%,-1.8537%,2.8954%,-0.1901%,-2.4075%,-2.4075%,-2.4075%,-2.4075%,-3.3679%,-2.4075%,-2.4075%,-2.4075%,-1.9317%
18-Aug-21,-1.5188%,-0.2071%,2.0776%,2.6038%,0.7529%,0.7529%,0.7529%,0.7529%,-0.7938%,0.7529%,0.7529%,0.7529%,-0.5133%
17-Aug-21,-0.8417%,-0.8921%,1.6983%,2.2025%,-0.0556%,-0.0556%,-0.0556%,-0.0556%,-0.3356%,-0.0556%,-0.0556%,-0.0556%,0.2302%
16-Aug-21,0.4362%,-0.9094%,1.1701%,1.0217%,-1.2005%,-1.2005%,-1.2005%,-1.2005%,1.1274%,-1.2005%,-1.2005%,-1.2005%,0.9451%
13-Aug-21,1.0035%,0.3724%,1.1297%,3.0870%,-1.7232%,-1.7232%,-1.7232%,-1.7232%,0.7754%,-1.7232%,-1.7232%,-1.7232%,1.4042%
12-Aug-21,-0.2701%,0.2141%,-0.0422%,1.6491%,-2.6169%,-2.6169%,-2.6169%,-2.6169%,1.6163%,-2.6169%,-2.6169%,-2.6169%,2.3639%
11-Aug-21,-0.6215%,-0.9723%,-0.7304%,0.7231%,-1.6955%,-1.6955%,-1.6955%,-1.6955%,-0.0738%,-1.6955%,-1.6955%,-1.6955%,0.6598%
10-Aug-21,0.6240%,-0.8933%,-0.3628%,1.2930%,-0.1007%,-0.1007%,-0.1007%,-0.1007%,-2.4373%,-0.1007%,-0.1007%,-0.1007%,-1.4426%
09-Aug-21,0.5390%,0.1377%,-0.0260%,0.7309%,-0.3193%,-0.3193%,-0.3193%,-0.3193%,-1.5413%,-0.3193%,-0.3193%,-0.3193%,-0.8286%
06-Aug-21,-0.6110%,0.0263%,0.5109%,1.0421%,-0.5294%,-0.5294%,-0.5294%,-0.5294%,-0.5075%,-0.5294%,-0.5294%,-0.5294%,0.0340%
05-Aug-21,1.7505%,-1.1511%,-0.3395%,0.1453%,-0.4664%,-0.4664%,-0.4664%,-0.4664%,-0.5201%,-0.4664%,-0.4664%,-0.4664%,0.2426%
04-Aug-21,3.6584%,0.6182%,0.7743%,0.5620%,0.8181%,0.8181%,0.8181%,0.8181%,-0.2106%,0.8181%,0.8181%,0.8181%,0.9072%
03-Aug-21,1.7698%,2.8436%,2.1022%,2.2005%,1.5193%,1.5193%,1.5193%,1.5193%,1.5147%,1.5193%,1.5193%,1.5193%,2.3273%
02-Aug-21,0.0533%,2.2271%,0.5798%,1.4012%,3.8314%,3.8314%,3.8314%,3.8314%,0.7452%,3.8314%,3.8314%,3.8314%,1.3199%
30-Jul-21,0.1488%,0.4787%,-0.8556%,1.7254%,3.1927%,3.1927%,3.1927%,3.1927%,1.4980%,3.1927%,3.1927%,3.1927%,-0.4098%
29-Jul-21,-0.3054%,-1.3830%,-1.0301%,1.5766%,-0.7062%,-0.7062%,-0.7062%,-0.7062%,2.0703%,-0.7062%,-0.7062%,-0.7062%,-0.7420%
28-Jul-21,-1.2070%,-1.3754%,-0.3476%,0.0459%,-4.9253%,-4.9253%,-4.9253%,-4.9253%,-0.0122%,-4.9253%,-4.9253%,-4.9253%,-1.5167%
27-Jul-21,-0.6809%,-1.0600%,-0.5441%,-0.0059%,-4.1316%,-4.1316%,-4.1316%,-4.1316%,-0.1473%,-4.1316%,-4.1316%,-4.1316%,-2.0279%
26-Jul-21,0.7794%,-0.9652%,0.6116%,0.5359%,0.5265%,0.5265%,0.5265%,0.5265%,-0.0075%,0.5265%,0.5265%,0.5265%,-1.5541%
23-Jul-21,1.7667%,-0.2044%,0.8983%,2.1469%,0.8128%,0.8128%,0.8128%,0.8128%,1.4350%,0.8128%,0.8128%,0.8128%,0.9939%
22-Jul-21,-1.1590%,-0.7337%,0.2294%,1.7325%,-0.6484%,-0.6484%,-0.6484%,-0.6484%,0.6416%,-0.6484%,-0.6484%,-0.6484%,0.4222%
20-Jul-21,-3.8830%,-2.0177%,-0.0643%,-0.5051%,-1.0764%,-1.0764%,-1.0764%,-1.0764%,-1.3382%,-1.0764%,-1.0764%,-1.0764%,-1.3358%
19-Jul-21,-2.3617%,-1.1163%,-0.0070%,-1.5516%,1.3800%,1.3800%,1.3800%,1.3800%,0.1754%,1.3800%,1.3800%,1.3800%,0.4140%
16-Jul-21,0.2337%,-0.3783%,0.4975%,0.2054%,0.8750%,0.8750%,0.8750%,0.8750%,0.9562%,0.8750%,0.8750%,0.8750%,0.2205%
15-Jul-21,0.6524%,-0.6887%,0.2008%,4.3014%,0.0511%,0.0511%,0.0511%,0.0511%,0.3296%,0.0511%,0.0511%,0.0511%,-0.6899%
14-Jul-21,1.3159%,0.2837%,-0.2868%,2.7522%,0.9292%,0.9292%,0.9292%,0.9292%,0.6080%,0.9292%,0.9292%,0.9292%,0.2942%
13-Jul-21,1.6860%,0.7382%,-0.2052%,-0.7822%,0.6905%,0.6905%,0.6905%,0.6905%,1.0387%,0.6905%,0.6905%,0.6905%,0.3546%
12-Jul-21,-0.2136%,-0.1705%,-0.0068%,-0.7591%,0.7160%,0.7160%,0.7160%,0.7160%,1.1890%,0.7160%,0.7160%,0.7160%,-0.6686%
09-Jul-21,-1.9940%,-1.2687%,-0.7259%,-0.2528%,-0.6476%,-0.6476%,-0.6476%,-0.6476%,-0.2629%,-0.6476%,-0.6476%,-0.6476%,-0.9876%
08-Jul-21,-0.8648%,-0.9918%,-0.1642%,0.3463%,-0.9647%,-0.9647%,-0.9647%,-0.9647%,-0.2397%,-0.9647%,-0.9647%,-0.9647%,-0.6562%
07-Jul-21,1.5635%,-1.8380%,0.1541%,-0.7515%,-0.5210%,-0.5210%,-0.5210%,-0.5210%,1.0863%,-0.5210%,-0.5210%,-0.5210%,-0.4867%
06-Jul-21,2.1621%,-1.1913%,0.0602%,-1.2515%,-0.8517%,-0.8517%,-0.8517%,-0.8517%,1.0726%,-0.8517%,-0.8517%,-0.8517%,0.2127%
05-Jul-21,1.4995%,0.5467%,0.4287%,-0.1813%,0.5923%,0.5923%,0.5923%,0.5923%,0.6049%,0.5923%,0.5923%,0.5923%,0.4098%
02-Jul-21,0.1083%,0.7969%,0.3410%,-0.5517%,1.5193%,1.5193%,1.5193%,1.5193%,-0.5705%,1.5193%,1.5193%,1.5193%,-0.7026%
01-Jul-21,-0.9408%,0.7060%,0.0010%,0.0581%,0.7772%,0.7772%,0.7772%,0.7772%,-0.7122%,0.7772%,0.7772%,0.7772%,-0.7134%
30-Jun-21,-1.6888%,-1.0335%,0.1074%,0.3410%,0.4284%,0.4284%,0.4284%,0.4284%,-1.0022%,0.4284%,0.4284%,0.4284%,-0.1821%
29-Jun-21,-1.0121%,-0.8910%,0.6292%,-0.7738%,1.8185%,1.8185%,1.8185%,1.8185%,-0.4753%,1.8185%,1.8185%,1.8185%,-0.5638%
28-Jun-21,1.5058%,0.8539%,-0.5217%,0.0707%,1.9628%,1.9628%,1.9628%,1.9628%,0.8603%,1.9628%,1.9628%,1.9628%,-1.1101%
25-Jun-21,2.2357%,1.1049%,-0.5060%,3.2593%,0.3664%,0.3664%,0.3664%,0.3664%,0.4808%,0.3664%,0.3664%,0.3664%,-1.9663%
24-Jun-21,0.2354%,0.7346%,-0.1575%,1.8055%,-0.9096%,-0.9096%,-0.9096%,-0.9096%,-0.6948%,-0.9096%,-0.9096%,-0.9096%,-2.0521%
23-Jun-21,-0.8599%,1.7694%,-0.5218%,-0.3840%,-0.4630%,-0.4630%,-0.4630%,-0.4630%,0.1164%,-0.4630%,-0.4630%,-0.4630%,-0.4223%
22-Jun-21,0.5382%,0.9174%,0.0344%,0.2733%,0.4569%,0.4569%,0.4569%,0.4569%,1.4543%,0.4569%,0.4569%,0.4569%,1.5948%
21-Jun-21,0.7625%,-1.1715%,0.5334%,-0.8614%,0.0096%,0.0096%,0.0096%,0.0096%,-0.6934%,0.0096%,0.0096%,0.0096%,-0.6116%
18-Jun-21,-1.2891%,-2.1611%,0.4296%,-0.0114%,-1.3193%,-1.3193%,-1.3193%,-1.3193%,-2.5069%,-1.3193%,-1.3193%,-1.3193%,-3.0209%
17-Jun-21,-1.8562%,-2.1990%,0.7242%,0.8161%,-1.7118%,-1.7118%,-1.7118%,-1.7118%,-2.0236%,-1.7118%,-1.7118%,-1.7118%,-1.6319%
16-Jun-21,0.1511%,-0.7840%,1.3044%,0.4737%,-1.6454%,-1.6454%,-1.6454%,-1.6454%,-0.9410%,-1.6454%,-1.6454%,-1.6454%,-0.6227%
15-Jun-21,0.5684%,-0.1032%,0.7643%,0.5651%,-0.9872%,-0.9872%,-0.9872%,-0.9872%,0.2978%,-0.9872%,-0.9872%,-0.9872%,0.4923%
14-Jun-21,-0.5167%,0.2827%,-0.2001%,1.8228%,0.9391%,0.9391%,0.9391%,0.9391%,0.9237%,0.9391%,0.9391%,0.9391%,0.9085%
11-Jun-21,0.7045%,0.2889%,0.1627%,2.4045%,2.3863%,2.3863%,2.3863%,2.3863%,1.2147%,2.3863%,2.3863%,2.3863%,0.6155%
10-Jun-21,0.1307%,-1.4101%,0.1647%,0.6267%,0.8666%,0.8666%,0.8666%,0.8666%,-0.2894%,0.8666%,0.8666%,0.8666%,-0.1555%
09-Jun-21,-1.8481%,-0.6721%,0.6002%,0.8837%,0.3534%,0.3534%,0.3534%,0.3534%,-0.9647%,0.3534%,0.3534%,0.3534%,-0.3616%
08-Jun-21,-0.5881%,1.2705%,1.4982%,2.2700%,0.6223%,0.6223%,0.6223%,0.6223%,0.8172%,0.6223%,0.6223%,0.6223%,1.8171%
07-Jun-21,-0.5794%,1.4704%,0.3077%,1.1275%,-0.3227%,-0.3227%,-0.3227%,-0.3227%,1.4973%,-0.3227%,-0.3227%,-0.3227%,2.0032%
04-Jun-21,-0.2326%,0.8197%,0.2260%,0.2115%,-0.3567%,-0.3567%,-0.3567%,-0.3567%,1.1111%,-0.3567%,-0.3567%,-0.3567%,0.7097%
03-Jun-21,0.8746%,1.7826%,0.0717%,-0.5799%,0.3992%,0.3992%,0.3992%,0.3992%,1.7238%,0.3992%,0.3992%,0.3992%,1.7296%
02-Jun-21,-0.4322%,1.4642%,-0.5263%,-0.6511%,0.7073%,0.7073%,0.7073%,0.7073%,0.6205%,0.7073%,0.7073%,0.7073%,1.5554%
01-Jun-21,0.5539%,-0.5011%,0.9951%,0.0796%,0.8817%,0.8817%,0.8817%,0.8817%,0.8888%,0.8817%,0.8817%,0.8817%,2.0524%
31-May-21,1.2149%,0.0558%,1.2224%,-0.1835%,-0.3437%,-0.3437%,-0.3437%,-0.3437%,1.8635%,-0.3437%,-0.3437%,-0.3437%,3.0820%
28-May-21,1.3012%,0.6893%,0.2144%,0.9789%,-1.3862%,-1.3862%,-1.3862%,-1.3862%,0.8650%,-1.3862%,-1.3862%,-1.3862%,1.2562%
27-May-21,1.2339%,0.9699%,0.0903%,2.8379%,0.0706%,0.0706%,0.0706%,0.0706%,-0.3425%,0.0706%,0.0706%,0.0706%,-1.2804%
26-May-21,-0.7479%,1.1693%,0.6985%,2.6551%,0.6555%,0.6555%,0.6555%,0.6555%,-0.6187%,0.6555%,0.6555%,0.6555%,-1.3589%
25-May-21,0.1590%,0.6924%,0.2596%,1.0934%,0.6842%,0.6842%,0.6842%,0.6842%,0.3533%,0.6842%,0.6842%,0.6842%,1.1058%
24-May-21,4.6047%,0.8662%,0.2803%,0.9553%,0.4592%,0.4592%,0.4592%,0.4592%,1.0411%,0.4592%,0.4592%,0.4592%,2.1858%
21-May-21,2.6633%,0.6138%,-0.1129%,0.4693%,-0.0547%,-0.0547%,-0.0547%,-0.0547%,-0.4003%,-0.0547%,-0.0547%,-0.0547%,0.0942%
20-May-21,-1.7635%,-0.9544%,-0.7711%,-0.2464%,0.9864%,0.9864%,0.9864%,0.9864%,-1.4003%,0.9864%,0.9864%,0.9864%,-0.2404%
19-May-21,0.6708%,2.4139%,-0.2237%,1.0747%,1.0188%,1.0188%,1.0188%,1.0188%,1.3331%,1.0188%,1.0188%,1.0188%,2.3879%
18-May-21,5.1672%,4.9743%,-0.1153%,1.4256%,-0.3839%,-0.3839%,-0.3839%,-0.3839%,3.1303%,-0.3839%,-0.3839%,-0.3839%,2.8571%
17-May-21,3.0095%,-0.1195%,2.1547%,-0.5910%,-1.4890%,-1.4890%,-1.4890%,-1.4890%,0.3780%,-1.4890%,-1.4890%,-1.4890%,0.6879%
14-May-21,-2.1842%,-1.8822%,1.8751%,-2.0263%,-1.3046%,-1.3046%,-1.3046%,-1.3046%,-3.1732%,-1.3046%,-1.3046%,-1.3046%,-1.4199%
12-May-21,-2.1265%,0.4054%,-0.4312%,-1.6167%,-0.4749%,-0.4749%,-0.4749%,-0.4749%,-1.2079%,-0.4749%,-0.4749%,-0.4749%,0.6804%
11-May-21,-0.0983%,1.7574%,0.0170%,-0.6234%,2.2717%,2.2717%,2.2717%,2.2717%,2.5684%,2.2717%,2.2717%,2.2717%,3.2890%
10-May-21,0.9492%,1.5838%,0.4554%,0.0561%,2.7180%,2.7180%,2.7180%,2.7180%,3.7748%,2.7180%,2.7180%,2.7180%,2.2154%
07-May-21,0.3671%,1.7964%,0.6608%,1.8367%,-0.2371%,-0.2371%,-0.2371%,-0.2371%,3.1384%,-0.2371%,-0.2371%,-0.2371%,1.2943%
06-May-21,1.6981%,2.4187%,0.6630%,2.9312%,3.7315%,3.7315%,3.7315%,3.7315%,2.4723%,3.7315%,3.7315%,3.7315%,1.2672%
05-May-21,0.9698%,-0.2064%,-0.2838%,0.4301%,1.9757%,1.9757%,1.9757%,1.9757%,0.7379%,1.9757%,1.9757%,1.9757%,0.4175%
04-May-21,-1.5849%,-0.6593%,0.5892%,-0.6883%,-1.7719%,-1.7719%,-1.7719%,-1.7719%,0.1349%,-1.7719%,-1.7719%,-1.7719%,-0.4638%
03-May-21,-3.8464%,-1.1461%,-0.0435%,-0.7721%,1.5458%,1.5458%,1.5458%,1.5458%,0.2918%,1.5458%,1.5458%,1.5458%,-0.4432%
30-Apr-21,0.1417%,-0.6986%,-1.1477%,-0.5895%,1.2807%,1.2807%,1.2807%,1.2807%,1.6873%,1.2807%,1.2807%,1.2807%,0.8424%
29-Apr-21,4.2692%,1.3531%,0.4214%,0.7498%,0.7129%,0.7129%,0.7129%,0.7129%,3.6311%,0.7129%,0.7129%,0.7129%,2.1486%
27-Apr-21,3.0947%,1.1459%,0.8329%,0.8005%,-0.1730%,-0.1730%,-0.1730%,-0.1730%,3.0364%,-0.1730%,-0.1730%,-0.1730%,1.9100%
26-Apr-21,1.5261%,-0.0322%,-0.5237%,-0.5701%,-1.3261%,-1.3261%,-1.3261%,-1.3261%,1.3293%,-1.3261%,-1.3261%,-1.3261%,1.7202%
23-Apr-21,1.9217%,-0.3517%,-1.6913%,-1.0485%,-0.8044%,-0.8044%,-0.8044%,-0.8044%,0.4386%,-0.8044%,-0.8044%,-0.8044%,1.1159%
22-Apr-21,1.8066%,1.1654%,-1.3981%,-1.5883%,0.9171%,0.9171%,0.9171%,0.9171%,-0.1807%,0.9171%,0.9171%,0.9171%,0.0760%
20-Apr-21,-2.7794%,-1.8509%,-1.6231%,-1.7285%,1.4348%,1.4348%,1.4348%,1.4348%,-2.8808%,1.4348%,1.4348%,1.4348%,-2.8777%
19-Apr-21,-2.8981%,-1.6712%,-0.4044%,0.8616%,2.0307%,2.0307%,2.0307%,2.0307%,-1.1611%,2.0307%,2.0307%,2.0307%,-2.4421%
16-Apr-21,0.6437%,-0.0953%,0.3810%,1.7991%,3.2246%,3.2246%,3.2246%,3.2246%,1.1930%,3.2246%,3.2246%,3.2246%,0.9430%
15-Apr-21,4.1132%,2.8458%,0.2806%,-2.7563%,0.1940%,0.1940%,0.1940%,0.1940%,2.1019%,0.1940%,0.1940%,0.1940%,2.8243%
13-Apr-21,-2.1291%,-1.0659%,-1.5344%,-5.8633%,-1.4667%,-1.4667%,-1.4667%,-1.4667%,-3.0875%,-1.4667%,-1.4667%,-1.4667%,-2.2880%
12-Apr-21,-6.4655%,-5.7744%,-1.2201%,-1.5736%,2.7014%,2.7014%,2.7014%,2.7014%,-6.1612%,2.7014%,2.7014%,2.7014%,-5.7647%
09-Apr-21,-1.6739%,-0.1416%,1.1851%,1.9587%,2.9164%,2.9164%,2.9164%,2.9164%,0.9317%,2.9164%,2.9164%,2.9164%,-1.4173%
08-Apr-21,0.8587%,1.7873%,1.0382%,2.2697%,0.5003%,0.5003%,0.5003%,0.5003%,2.8123%,0.5003%,0.5003%,0.5003%,0.3196%
07-Apr-21,0.9468%,1.7002%,1.5236%,1.2659%,2.2578%,2.2578%,2.2578%,2.2578%,1.4587%,2.2578%,2.2578%,2.2578%,0.5517%
06-Apr-21,-4.1741%,-2.4664%,-0.7357%,2.0797%,1.3667%,1.3667%,1.3667%,1.3667%,-0.0218%,1.3667%,1.3667%,1.3667%,-1.6416%
05-Apr-21,-1.9127%,-0.9664%,-1.8282%,2.4021%,0.4776%,0.4776%,0.4776%,0.4776%,1.9613%,0.4776%,0.4776%,0.4776%,0.2583%
01-Apr-21,-0.0505%,1.5724%,0.8479%,-0.5416%,1.3775%,1.3775%,1.3775%,1.3775%,2.4737%,1.3775%,1.3775%,1.3775%,0.5255%
31-Mar-21,-0.0429%,0.9222%,3.1869%,1.8174%,3.1729%,3.1729%,3.1729%,3.1729%,1.6642%,3.1729%,3.1729%,3.1729%,-0.1790%
30-Mar-21,2.5643%,2.1657%,3.9495%,3.3842%,3.1934%,3.1934%,3.1934%,3.1934%,3.1184%,3.1934%,3.1934%,3.1934%,1.5503%
26-Mar-21,0.0749%,-1.5735%,-0.4987%,-1.6460%,-0.2785%,-0.2785%,-0.2785%,-0.2785%,-0.4171%,-0.2785%,-0.2785%,-0.2785%,-2.5201%
25-Mar-21,-3.5688%,-5.5567%,-3.7955%,-3.4418%,-0.7650%,-0.7650%,-0.7650%,-0.7650%,-3.9370%,-0.7650%,-0.7650%,-0.7650%,-4.8099%
24-Mar-21,-0.9317%,-2.1682%,-1.8269%,-0.9007%,0.5501%,0.5501%,0.5501%,0.5501%,-1.4227%,0.5501%,0.5501%,0.5501%,-1.6866%
23-Mar-21,0.0667%,0.0113%,1.2920%,2.0798%,2.0164%,2.0164%,2.0164%,2.0164%,1.6127%,2.0164%,2.0164%,2.0164%,0.1060%
22-Mar-21,-0.7539%,-0.0345%,4.0031%,2.5427%,2.8378%,2.8378%,2.8378%,2.8378%,3.3255%,2.8378%,2.8378%,2.8378%,3.0927%
19-Mar-21,-0.1980%,0.2690%,2.4502%,-2.4283%,-1.0320%,-1.0320%,-1.0320%,-1.0320%,1.5625%,-1.0320%,-1.0320%,-1.0320%,1.5351%
18-Mar-21,100.0000%,100.0000%,100.0000%,100.0000%,-128.9632%,-4.3298%,-4.3298%,-4.3298%,-177.3404%,61.1479%,-4.3298%,-4.3298%,100.0000%
17-Mar-21,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%
#REF!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,#DIV/0!
